country_code	country	2015-2020	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100
238	Falkland Islands (Malvinas)	-0.0155	-0.1605	-0.407	-0.4415	-0.406	-0.3695	-0.3425	-0.3285	-0.341	-0.3255	-0.335	-0.3245	-0.3335	-0.3335	-0.3475	-0.3745	-0.375
254	French Guiana	-2.1845	-12.5985	-37.249	-44.6675	-49.821	-53.5425	-56.781	-59.492	-67.497	-75.0245	-77.644	-87.098	-95.0005	-110.4365	-117.03	-135.7575	-151.935
328	Guyana	-0.8715	-48.951	-137.675	-138.5605	-137.514	-147.508	-152.1765	-148.54	-154.9655	-159.4975	-161.365	-169.7455	-181.2265	-185.9645	-182.2905	-181.297	-176.9805
600	Paraguay	-4.113	-72.337	-155.7865	-190.5565	-213.552	-235.109	-240.634	-249.088	-254.3455	-255.0235	-269.176	-275.7925	-288.186	-289.0985	-284.4315	-290.997	-291.0825
604	Peru	27.6875	-16.386	-912.6805	-1194.2315	-1308.467	-1357.7685	-1407.2785	-1462.8865	-1474.5485	-1475.8665	-1433.0595	-1478.304	-1469.3625	-1492.906	-1567.983	-1586.8065	-1539.7125
740	Suriname	-0.148	-15.669	-64.21	-77.441	-83.7675	-80.667	-83.774	-85.6935	-89.3135	-93.3755	-91.739	-96.0345	-97.597	-101.963	-106.481	-114.923	-128.926
858	Uruguay	-0.741	-12.3505	-37.352	-49.54	-56.1875	-60.674	-61.4655	-62.6255	-64.312	-65.882	-64.446	-61.3415	-62.4815	-59.191	-57.5425	-55.855	-55.0285
862	Venezuela (Bolivarian Republic of)	-262.3245	-1402.5355	-2352.749	-2623.757	-2563.156	-2621.747	-2592.911	-2647.235	-2720.192	-2626.4485	-2679.6395	-2785.802	-2828.4465	-2738.4105	-2823.0245	-3049.59	-3049.5295
905	Northern America	293.1595	6241.0055	2619.7935	1343.839	245.709	15.8145	-657.5225	-1291.5385	-1314.569	-1967.859	-1703.989	-2031.615	-2307.882	-2524.296	-2477.6855	-2448.5765	-2715.2315
60	Bermuda	0.143	-0.0935	-2.631	-2.915	-3.0545	-2.855	-2.5925	-2.5615	-2.448	-2.2885	-2.215	-2.028	-2.096	-2.026	-1.91	-1.752	-1.3315
124	Canada	128.296	1488.1015	224.992	-232.4215	-560.2375	-672.1295	-779.8665	-843.8805	-909.009	-813.643	-922.442	-952.8155	-934.2975	-973.0525	-966.706	-800.8325	-738.436
304	Greenland	-0.164	-2.203	-4.3195	-4.406	-4.3235	-4.1005	-3.7155	-3.716	-3.534	-3.4545	-3.328	-3.198	-3.1765	-3.2305	-3.2595	-3.06	-3.0415
666	Saint Pierre and Miquelon	0	-0.099	-0.44	-0.4325	-0.415	-0.3785	-0.362	-0.3305	-0.3095	-0.2895	-0.269	-0.2555	-0.2405	-0.232	-0.231	-0.2115	-0.2055
840	United States of America	164.8845	4584.024	1534.6495	148.5335	-946.8335	-1366.4165	-1669.6455	-1947.978	-2386.2915	-3020.5095	-3122.5425	-3250.102	-3716.2815	-3664.962	-3365.9265	-3668.3095	-3847.2245
909	Oceania	40.1965	352.117	-735.349	-796.392	-935.6225	-967.811	-1020.92	-1126.33	-1061.4735	-1149.536	-1202.35	-1252.961	-1289.731	-1350.55	-1203.2305	-1249.095	-1356.5665
927	Australia/New Zealand	43.2855	421.3175	-626.0955	-720.6895	-816.9455	-780.598	-872.9675	-945.196	-843.5275	-865.9585	-933.6535	-972.3025	-987.717	-895.5855	-782.185	-830.399	-984.9095
36	Australia	22.2235	412.7565	-462.833	-740.0515	-815.5685	-791.574	-864.148	-914.615	-837.034	-897.0545	-926.6215	-936.725	-1006.8215	-852.634	-755.5905	-868.3875	-974.0295
554	New Zealand	21.062	-58.2135	-524.708	-325.339	-360.178	-378.7285	-410.2495	-395.0735	-401.4245	-431.2425	-454.523	-470.057	-481.3365	-498.736	-504.1345	-492.448	-479.316
928	Melanesia	2.4345	-48.239	-303.801	-438.29	-530.0165	-625.1405	-704.26	-785.574	-815.345	-852.6805	-867.9675	-902.3225	-931.1125	-999.7605	-1041.6565	-1057.308	-1069.878
242	Fiji	-3.004	-26.8815	-51.497	-60.8835	-63.9425	-65.4225	-67.983	-69.075	-67.883	-66.7285	-68.257	-69.05	-63.513	-63.7985	-64.445	-65.6165	-69.0015
540	New Caledonia	-0.5905	-3.849	-18.179	-23.047	-25.5765	-25.838	-27.6635	-26.041	-27.0645	-26.695	-27.293	-27.71	-27.75	-30.1325	-31.2375	-34.1605	-33.885
598	Papua New Guinea	5.3515	-33.936	-288.4325	-411.632	-502.356	-588.8525	-663.732	-736.9595	-777.689	-821.553	-831.8785	-862.2855	-896.808	-968.6195	-997.3295	-1020.196	-1079.9945
