country_code	country	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
1637	Small Island Developing States (SIDS)	-2.58	-2.792	-3.102	-3.483	-3.797	-4.119	-4.301	-4.845	-5.356	-5.537	-5.426	-5.562	-5.674	-5.903	-6.651	-6.455	-5.988	-5.465	-5.275	-5.431	-4.733	-5.145	-5.388	-5.376	-4.656	-3.832	-3.78	-3.653	-3.543	-4.779	-3.686	-2.491	-3.443	-4.076	-4.387	-4.896	-4.57	-3.997	-3.614	-2.967	-2.358	-1.657	-1.393	-1.403	-1.164	-0.775	-0.429	-0.633	-1.329	-6.729	-1.068	-1.118	-2.706	-3.28	-1.886	-0.882	0.137	1.018	0.536	-0.738	-1.124	-1.058	-1.247	-1.641	-1.939	-1.747	-2.15	-3.863	0.033	-2.296	-3.159	-1.841	1.193	-1.241
2091	SIDS Caribbean	-3.863	-4.036	-4.487	-4.905	-5.332	-5.772	-6.007	-6.124	-6.261	-6.446	-6.089	-6.205	-6.46	-6.587	-6.768	-6.844	-6.568	-6.435	-6.252	-6.087	-5.526	-5.264	-5.737	-5.714	-5.651	-5.206	-5.061	-4.962	-4.693	-4.681	-4.831	-4.432	-4.24	-4.173	-4.146	-4.156	-4.392	-4.465	-4.311	-4.296	-4.062	-3.81	-3.717	-3.866	-3.729	-3.569	-3.413	-3.631	-3.486	-3.609	-3.955	-3.988	-3.881	-3.729	-3.643	-3.623	-3.304	-3.36	-3.538	-3.573	-3.846	-3.894	-3.818	-3.796	-3.904	-3.605	-3.555	-5.715	-0.344	-3.344	-1.667	-1.861	-2.133	-1.885
2092	SIDS Pacific	-2.883	-2.7	-2.49	-2.18	-1.904	-1.645	-1.304	-1.682	-1.661	-1.73	-1.78	-3.916	-4.271	-4.803	-5.359	-5.504	-5.586	-6.823	-6.58	-6.11	-5.676	-5.71	-6.092	-6.441	-6.658	-4.435	-4.736	-4.763	-4.597	-4.876	-5.036	-5.756	-5.94	-5.834	-5.877	-5.579	-5.766	-6.256	-6.477	-5.888	-3.156	0.657	2.006	1.999	2.029	2.147	2.869	3.421	3.282	-26.521	6.376	6.903	5.405	0.41	0.032	1.736	1.772	1.724	1.275	1.422	2.409	1.513	1.175	0.923	0.602	0.289	0.174	0.182	0.033	-0.545	-0.162	-0.407	-1.446	-1.397
2093	SIDS Atlantic, Indian Ocean and South China Sea (AIS)	6.587	5.561	5.533	4.547	4.252	3.976	3.481	-0.046	-3.519	-3.819	-5.112	-3.278	-2.259	-2.808	-7.284	-5.041	-2.798	2.019	2.183	-0.636	1.194	-3.792	-2.451	-2.107	3.722	5.305	5.107	5.505	4.524	-5.26	4.61	12.452	3.877	-1.603	-4.143	-8.405	-4.265	1.231	3.572	7.814	8.054	7.651	7.492	8.047	8.883	10.575	11.246	10.025	4.264	0.192	4.828	3.787	-6.471	-5.504	4.414	9.23	14.573	20.612	18.23	9.354	6.617	8.177	6.867	4.386	3.209	3.498	0.768	-1.35	1.588	-0.266	-13.239	-3.682	18.282	1.559
5503	High-and-upper-middle-income countries	-0.03	-0.132	-0.127	0.095	-0.07	-0.037	-0.08	0.269	0.01	-0.011	0.057	0.019	0.194	0.158	0.179	0.2	0.302	0.041	0.454	0.504	0.212	0.584	0.438	0.397	0.233	0.069	0.252	0.3	0.266	0.154	0.466	0.162	0.123	0.272	0.273	0.284	0.432	0.386	0.497	0.466	0.265	0.492	0.009	0.55	0.412	0.261	0.373	0.273	0.131	0.512	0.709	0.727	1.125	0.804	0.766	0.951	0.427	0.889	1.159	0.964	0.968	1.02	1.387	1.373	1.421	1.719	1.168	1.336	1.271	1.158	0.548	0.728	2.488	1.021
5504	Low-and-Lower-middle-income countries	-0.014	0.199	0.197	-0.237	0.1	0.043	0.135	-0.546	-0.035	0.011	-0.118	-0.04	-0.366	-0.294	-0.333	-0.369	-0.556	-0.075	-0.827	-0.915	-0.389	-1.045	-0.778	-0.7	-0.405	-0.105	-0.441	-0.519	-0.455	-0.263	-0.774	-0.266	-0.201	-0.435	-0.432	-0.445	-0.667	-0.591	-0.752	-0.699	-0.392	-0.721	-0.013	-0.785	-0.581	-0.366	-0.516	-0.372	-0.177	-0.678	-0.928	-0.939	-1.437	-1.014	-0.953	-1.167	-0.514	-1.061	-1.369	-1.122	-1.115	-1.163	-1.571	-1.539	-1.576	-1.889	-1.21	-1.237	-1.006	-0.979	-0.441	-0.671	-2.53	-1.015
1503	High-income countries	-0.239	-0.42	-0.314	0.318	-0.147	0.021	-0.126	0.59	0.205	0.431	0.502	0.341	0.778	0.666	2.186	1.176	1.22	-0.905	1.561	1.78	1.443	2.385	2.025	1.913	1.403	0.886	1.091	1.025	1.062	1.201	1.682	1.031	0.736	0.922	0.801	1.188	1.504	1.521	1.864	2.127	1.702	3.154	2.899	2.305	2.545	1.727	2.22	2.023	1.505	2.534	2.864	3.293	3.822	3.811	3.768	3.834	3.74	4.965	4.355	3.499	3.567	4.158	3.824	3.903	4.177	4.947	4.187	3.133	3.295	3.785	1.265	2.184	7.542	3.973
1859	Low-and-middle-income countries	0.058	0.13	0.093	-0.141	0.037	-0.021	0.035	-0.221	-0.08	-0.158	-0.18	-0.122	-0.27	-0.228	-0.738	-0.392	-0.401	0.295	-0.5	-0.562	-0.453	-0.733	-0.614	-0.572	-0.414	-0.252	-0.319	-0.296	-0.303	-0.338	-0.465	-0.281	-0.198	-0.245	-0.21	-0.306	-0.382	-0.381	-0.46	-0.518	-0.409	-0.749	-0.682	-0.537	-0.586	-0.395	-0.502	-0.453	-0.334	-0.555	-0.622	-0.709	-0.817	-0.808	-0.792	-0.799	-0.773	-1.02	-0.887	-0.706	-0.714	-0.828	-0.755	-0.765	-0.812	-0.955	-0.77	-0.479	-0.421	-0.571	-0.159	-0.357	-1.382	-0.721
1517	Middle-income countries	0.223	0.282	0.236	-0.004	0.159	0.081	0.129	-0.147	0.039	-0.095	-0.137	-0.098	-0.244	-0.204	-0.768	-0.404	-0.419	0.308	-0.531	-0.57	-0.451	-0.703	-0.544	-0.616	-0.395	-0.21	-0.24	-0.093	-0.462	-0.179	0.183	0.27	-0.15	-0.191	-0.241	-0.214	-0.264	-0.245	-0.33	-0.428	-0.097	-0.682	-0.958	-0.718	-0.658	-0.444	-0.491	-0.366	-0.346	-0.509	-0.357	-0.66	-0.974	-0.826	-0.746	-0.86	-0.889	-1.016	-0.87	-0.698	-0.659	-0.808	-0.56	-0.401	-0.545	-0.734	-0.79	-0.442	-0.566	-0.68	-0.239	-0.285	-1.501	-0.814
1502	Upper-middle-income countries	0.119	0.072	0.004	-0.06	-0.016	-0.076	-0.049	0.055	-0.117	-0.302	-0.235	-0.193	-0.186	-0.169	-1.092	-0.412	-0.265	0.619	-0.213	-0.253	-0.509	-0.458	-0.47	-0.46	-0.422	-0.383	-0.209	-0.095	-0.164	-0.406	-0.179	-0.295	-0.196	-0.064	0.003	-0.172	-0.105	-0.176	-0.173	-0.34	-0.426	-0.778	-1.364	-0.28	-0.592	-0.425	-0.488	-0.54	-0.505	-0.419	-0.28	-0.449	-0.109	-0.57	-0.604	-0.364	-1.083	-0.97	-0.298	-0.191	-0.215	-0.406	0.283	0.229	0.177	0.264	-0.191	0.528	0.364	-0.018	0.227	0.079	0.228	-0.303
