country_code	country	1950-1955	1955-1960	1960-1965	1965-1970	1970-1975	1975-1980	1980-1985	1985-1990	1990-1995	1995-2000	2000-2005	2005-2010	2010-2015	2015-2020	last.observed
426	Lesotho	46.1928	49.2325	50.2806	50.818	52.4779	54.8849	58.1379	59.4333	58.1436	52.5994	45.4898	44.1738	48.8351	54.0542	2023
516	Namibia	43.3389	46.6409	50.2187	53.1999	56.0835	58.3661	57.4716	59.6858	59.5599	55.2617	52.1861	54.3409	58.1162	62.3201	2023
710	South Africa	45.5409	50.5431	53.6701	55.0911	56.5958	58.8023	61.3097	62.8161	62.5809	60.1448	55.4039	55.8286	61.9575	65.4082	2023
914	Western Africa	35.7666	36.9185	38.1517	39.2683	41.7416	44.8973	46.8155	47.4889	47.9708	48.8668	50.9688	53.3307	54.9937	56.3629	2023
204	Benin	36.1381	37.7731	39.785	41.9031	44.1257	46.6246	48.6981	51.5497	54.2789	55.994	57.0129	58.1082	58.724	59.6312	2023
854	Burkina Faso	33.6931	35.0966	36.7501	38.4422	40.6509	44.4034	47.6258	49.0336	49.3327	49.9699	51.841	54.7604	57.6424	59.7425	2023
132	Cabo Verde	45.9952	47.7415	50.7829	55.0397	57.5695	59.8204	61.4913	62.9805	64.1685	66.2929	69.6815	71.8546	73.3849	74.7617	2023
384	Côte d'Ivoire	32.2014	35.4317	38.9134	42.3022	46.0442	49.9066	52.2092	52.9856	52.3329	51.4134	51.5887	53.8596	56.8144	59.5278	2023
270	Gambia	31.8001	33.2983	35.753	38.268	40.846	43.6554	46.3961	49.806	52.8119	55.5982	57.9836	60.2111	62.0951	63.8954	2023
288	Ghana	44.1743	46.1645	47.5936	47.9475	48.4323	50.3603	51.7131	54.0566	56.0532	57.4041	58.9051	60.4857	62.2549	63.9864	2023
324	Guinea	35.6749	36.2192	37.0584	38.3178	39.7287	41.5869	44.0029	46.2587	48.555	51.2275	53.3094	55.4209	57.1958	58.8504	2023
624	Guinea-Bissau	35.9152	36.7343	36.5275	36.5213	39.1829	43.3137	44.2937	45.9527	47.5945	48.4502	51.8057	55.0797	58.5817	61.2946	2023
430	Liberia	37.9647	37.9577	38.18	39.3936	41.3457	43.2841	44.3628	42.9516	42.1288	48.7417	54.0072	58.4414	59.574	60.7518	2023
466	Mali	28.9882	29.8873	30.7364	32.1801	34.6412	38.1981	42.0681	45.2698	47.309	49.2638	52.2199	54.8856	56.8478	58.6423	2023
478	Mauritania	39.4828	41.9797	45.3734	49.0543	51.0551	52.2127	54.4166	57.0657	58.5844	59.7102	62.4954	65.1021	66.062	67.1394	2023
562	Niger	35.7959	35.9461	36.2348	36.0484	35.7548	37.7682	39.5351	40.4266	43.1856	47.1803	51.0303	55.3084	58.0929	59.5724	2023
566	Nigeria	35.9475	36.7037	37.6677	38.4677	41.5025	44.9026	46.2866	45.8956	45.6849	46.2177	48.3448	50.5012	51.714	52.5735	2023
654	Saint Helena	75.7001	74.4555	73.2644	72.4986	73.8355	73.8943	75.0079	76.8818	76.7695	77.6725	78.8769	80.0309	79.7222	79.6338	2023
686	Senegal	37.4076	39.09	39.622	40.0374	42.0844	46.015	50.3106	54.9375	57.2025	57.1519	59.2229	62.8223	65.4437	67.2416	2023
694	Sierra Leone	29.8967	31.8231	34.2975	37.2655	39.5548	41.7468	43.1054	43.5615	42.7391	42.7911	46.6767	50.3093	53.5745	58.2267	2023
768	Togo	42.0704	42.8692	44.0013	45.8649	47.8181	50.4338	53.4503	54.683	53.8884	54.0507	55.1771	56.543	58.2058	60.3706	2023
935	Asia	44.3119	46.0963	48.4486	52.5836	55.3098	57.9971	60.7047	63.0255	64.9321	66.7154	68.6267	70.4943	72.2603	73.6526	2023
5500	Central Asia	53.8329	55.3015	56.8433	58.3428	59.7081	61.0965	62.9379	64.8334	63.8577	63.7948	65.4886	67.5799	69.9996	71.5476	2023
398	Kazakhstan	56.2259	57.4117	58.5847	59.6646	60.6301	61.8964	63.8705	65.851	64.6763	63.3829	64.583	66.5731	70.3104	72.8611	2023
417	Kyrgyzstan	52.5945	54.226	55.8944	57.5023	59.0051	60.5937	62.3753	64.9098	63.8628	64.2708	65.4673	66.4194	68.519	70.2755	2023
762	Tajikistan	49.7932	51.4849	53.5098	55.6709	57.2398	58.2688	59.9579	61.6924	58.9916	62.0839	65.3543	67.6223	69.2579	70.2921	2023
795	Turkmenistan	48.9218	51.0134	52.9945	55.0719	56.705	58.2541	61.6774	63.5039	63.7119	64.068	65.8337	67.351	68.8774	69.2157	2023
860	Uzbekistan	53.8511	55.5671	57.3708	59.2432	60.9011	62.3163	63.6494	65.4608	65.1224	65.1517	66.6152	68.7677	70.6093	71.8001	2023
906	Eastern Asia	46.5749	47.1012	49.7351	56.6178	60.6945	64.2166	66.8605	68.7016	70.5412	72.3914	74.2601	75.9185	77.3511	78.5348	2023
156	China	45.5212	44.8658	47.3702	54.8376	59.0415	62.6877	65.5045	67.4373	69.3804	71.4709	73.2718	74.9073	76.3851	77.5893	2023
344	China, Hong Kong SAR	60.5539	64.6701	67.717	70.4018	72.2373	73.6048	75.2469	77.0197	78.406	79.9934	81.2658	82.3272	83.6085	84.8214	2023
446	China, Macao SAR	59.047	61.5288	66.0169	68.1399	71.488	72.5845	73.7498	75.5084	77.2158	78.5549	80.2915	81.2617	82.482	83.4731	2023
158	China, Taiwan Province of China	58.2138	61.1426	64.1963	67.041	69.8965	71.561	72.5746	73.612	74.4994	75.4207	76.9279	78.268	79.3668	80.3041	2023
408	Dem. People's Republic of Korea	28.6977	54.056	57.3022	60.4494	63.578	66.1138	68.343	69.9667	69.6456	60.9266	64.9576	69.4055	71.6341	72.9953	2023
392	Japan	62.9042	66.4969	69.2353	71.494	73.3699	75.5217	77.1395	78.6288	79.529	80.6111	81.862	82.6644	83.3095	84.3009	2023
496	Mongolia	39.3784	42.3839	46.904	50.5812	53.5656	54.9396	55.7358	57.4854	60.5385	62.0273	64.2469	66.5435	68.06	70.2745	2023
410	Republic of Korea	35.4638	51.5874	54.9529	59.443	63.6046	65.1472	67.155	69.9076	72.3432	74.8946	77.5105	79.8493	81.8094	83.3942	2023
5501	Southern Asia	41.1265	43.8398	45.8253	47.2953	49.0301	52.3522	54.9838	57.4906	59.5779	61.6558	63.9447	66.0832	68.1606	69.8829	2023
4	Afghanistan	29.2303	31.5557	33.9565	36.2519	38.6532	39.6915	35.0999	40.1699	49.0849	53.2624	56.7311	59.3769	61.8473	62.4412	2023
