country_code	country	1950-1955	1955-1960	1960-1965	1965-1970	1970-1975	1975-1980	1980-1985	1985-1990	1990-1995	1995-2000	2000-2005	2005-2010	2010-2015	2015-2020	last.observed
663	Saint Martin (French part)	6.3934	6.2401	6.2983	6.2249	5.6517	4.3306	2.9568	2.7221	2.7201	2.7728	2.822	2.5495	2.6215	2.7688	2023
670	Saint Vincent and the Grenadines	7.3018	7.3053	7.0269	6.5262	5.7475	4.698	3.6336	2.8757	2.7595	2.4527	2.2157	2.1289	2.1445	1.9723	2023
534	Sint Maarten (Dutch part)	4.9455	4.6626	4.1924	3.6865	3.0878	2.6308	2.2805	1.9267	1.9376	2.1231	1.7741	1.6824	1.8597	1.541	2023
780	Trinidad and Tobago	5.2692	5.2985	5.26	4.258	3.4876	3.1577	3.1157	2.7275	2.1796	1.8219	1.6685	1.6293	1.6154	1.5903	2023
796	Turks and Caicos Islands	6.0579	6.1219	5.7566	5.4379	4.9051	4.4469	4.0083	3.5026	2.8257	2.5122	2.1775	1.9748	1.7373	1.6202	2023
850	United States Virgin Islands	4.8849	5.1469	5.0013	5.0053	4.3611	3.2076	3.0008	2.8981	3.5144	2.7966	2.4055	2.5779	2.3055	2.2259	2023
916	Central America	6.7563	6.7893	6.8132	6.6636	6.1588	5.3676	4.5904	3.9963	3.523	3.1267	2.8145	2.5592	2.3855	2.1636	2023
84	Belize	6.6793	6.576	6.4875	6.3769	6.3289	6.1501	5.4445	4.9368	4.3179	3.7342	3.3795	2.8284	2.4976	2.2955	2023
188	Costa Rica	6.4708	6.6668	6.4025	5.2188	4.099	3.6866	3.5476	3.3507	2.9498	2.5567	2.1555	1.9524	1.828	1.6832	2023
222	El Salvador	6.3994	6.5722	6.6796	6.4364	5.978	5.4241	4.7522	4.1538	3.7809	3.379	2.7529	2.3483	2.1862	1.9198	2023
320	Guatemala	6.9052	6.9979	6.9016	6.7189	6.5178	6.3116	6.0145	5.6362	5.2998	4.8644	4.3203	3.6598	3.1996	2.7916	2023
340	Honduras	7.5017	7.501	7.4572	7.3267	7.0282	6.6891	6.1354	5.5467	5.0761	4.548	3.9285	3.3129	2.9005	2.6636	2023
484	Mexico	6.7548	6.7663	6.8146	6.7207	6.1891	5.266	4.38	3.7491	3.2593	2.8747	2.6172	2.4141	2.2712	2.0519	2023
558	Nicaragua	7.1277	7.1663	7.0951	6.9061	6.6278	6.2372	5.6954	5.017	4.2011	3.4418	2.9119	2.6985	2.5284	2.3761	2023
591	Panama	5.6947	5.7819	5.847	5.4672	4.8118	4.0687	3.6275	3.2327	2.947	2.801	2.695	2.6087	2.5716	2.3959	2023
931	South America	5.6208	5.6564	5.5503	5.0653	4.5693	4.178	3.765	3.3057	2.9415	2.6461	2.3289	2.1283	2.0099	1.8828	2023
32	Argentina	3.1519	3.1292	3.093	3.0059	3.1615	3.3374	3.1791	3.0354	2.965	2.703	2.485	2.4077	2.3652	2.0683	2023
68	Bolivia (Plurinational State of)	6.2136	6.2648	6.2399	6.1179	5.8757	5.6421	5.333	5.0538	4.6768	4.22	3.7724	3.4072	3.0509	2.7651	2023
76	Brazil	6.1124	6.0882	5.9202	5.2571	4.6671	4.2272	3.7762	3.1818	2.7015	2.428	2.068	1.8518	1.7769	1.7328	2023
152	Chile	4.8156	4.7772	4.5684	4.0898	3.4773	2.9522	2.6565	2.6	2.4677	2.1829	1.9189	1.8315	1.7943	1.5389	2023
170	Colombia	6.5437	6.7255	6.6053	5.8334	4.7946	4.0916	3.5426	3.0904	2.9674	2.7176	2.4595	2.1697	1.8868	1.7135	2023
218	Ecuador	6.7484	6.7464	6.6466	6.3686	5.7836	5.0574	4.4456	3.8637	3.5426	3.2674	2.9524	2.7094	2.4338	2.0943	2023
238	Falkland Islands (Malvinas)	2.7067	3.081	3.0763	2.8323	2.7303	2.3249	1.9499	1.6562	1.4328	1.4559	1.4843	1.5992	1.6064	1.6873	2023
254	French Guiana	4.9978	5.1518	5.0827	4.8238	4.0893	3.3524	3.3426	3.4205	3.7904	3.7012	3.6334	3.6116	3.4782	3.6976	2023
328	Guyana	6.0352	6.2911	6.3184	5.8164	4.9939	4.1095	3.6908	3.3429	3.2506	3.2301	2.8485	2.6978	2.7164	2.5892	2023
600	Paraguay	6.5375	6.5223	6.4763	6.0569	5.4268	5.0955	5.0993	4.809	4.3443	3.84	3.2145	2.8326	2.6668	2.5881	2023
604	Peru	6.9532	6.9644	6.8699	6.5539	6.0312	5.3726	4.7386	4.1938	3.6185	3.0654	2.7226	2.5714	2.3478	2.132	2023
740	Suriname	6.2893	6.4985	6.4985	5.9427	5.117	4.2558	3.8348	3.5258	3.0347	2.9724	2.9003	2.7276	2.6476	2.4206	2023
858	Uruguay	2.7335	2.8034	2.8614	2.7928	2.8552	2.8558	2.5157	2.4912	2.4362	2.3086	2.141	2.0524	2.0219	1.7645	2023
862	Venezuela (Bolivarian Republic of)	6.565	6.5222	6.1749	5.6523	4.9673	4.4406	3.9842	3.6306	3.2588	2.9391	2.7151	2.5112	2.353	2.2274	2023
905	Northern America	3.337	3.6727	3.4175	2.6024	2.0431	1.8155	1.8302	1.9045	1.9859	1.9255	1.9612	1.9925	1.8345	1.7118	2023
60	Bermuda	3.5562	3.5647	3.3844	2.5366	2.1603	1.7417	1.6951	1.7399	1.716	1.7154	1.7988	1.8062	1.5176	1.4053	2023
124	Canada	3.5719	3.7869	3.5465	2.5152	1.9337	1.7156	1.628	1.6089	1.7046	1.5692	1.5187	1.6325	1.6154	1.5158	2023
304	Greenland	5.9052	6.4248	6.7087	5.0542	2.8247	2.2479	2.2007	2.2547	2.5138	2.4614	2.3831	2.2694	2.0628	2.0478	2023
666	Saint Pierre and Miquelon	4.0444	5.1033	4.1068	3.6262	2.942	2.1562	2.3246	2.3146	2.1618	2.0222	1.9308	1.9114	1.655	1.419	2023
840	United States of America	3.3184	3.663	3.4037	2.611	2.0547	1.8266	1.8531	1.9373	2.0168	1.9643	2.0089	2.0306	1.857	1.7322	2023
909	Oceania	3.7803	4.016	3.994	3.6056	3.292	2.7311	2.5812	2.5213	2.5006	2.4369	2.4373	2.5279	2.4311	2.2544	2023
927	Australia/New Zealand	3.2379	3.48	3.4139	2.9423	2.6384	2.0326	1.9219	1.8906	1.8979	1.807	1.7927	1.9614	1.8922	1.7286	2023
36	Australia	3.1431	3.3545	3.2843	2.8553	2.5983	1.9989	1.9132	1.8555	1.8668	1.7772	1.764	1.9327	1.8672	1.7211	2023
554	New Zealand	3.6671	4.0413	3.9873	3.3345	2.8208	2.1819	1.956	2.0573	2.0473	1.9516	1.9313	2.102	2.0213	1.7623	2023
928	Melanesia	5.9619	6.078	6.1821	6.1088	5.895	5.6037	5.282	4.9871	4.6591	4.374	4.1385	3.8732	3.6101	3.3412	2023
242	Fiji	6.5592	6.5413	6.1203	5.237	4.3101	4.1095	3.9089	3.5139	3.3442	3.1537	2.9736	2.8537	2.6377	2.4713	2023
540	New Caledonia	5.1619	5.3274	5.3545	5.0871	4.8163	3.9777	3.3791	3.0727	2.869	2.5775	2.3264	2.2104	2.1499	2.0563	2023
598	Papua New Guinea	5.802	5.9348	6.1361	6.2354	6.1778	5.9064	5.5801	5.3356	4.9564	4.6281	4.3624	4.0299	3.7092	3.4044	2023
90	Solomon Islands	7.1487	7.0989	7.0757	7.0228	7.02	6.8917	6.5878	6.051	5.5106	5.0498	4.5989	4.3933	4.3184	3.9808	2023
548	Vanuatu	7.0398	6.9316	6.6553	6.4811	6.1862	5.8532	5.624	5.3351	5.0791	4.648	4.3258	4.1376	4.0634	3.8718	2023
954	Micronesia	6.2568	6.4934	6.3042	5.9088	5.4257	4.813	4.3254	3.9791	3.8371	3.4182	3.1207	3.2776	3.2486	3.0721	2023
316	Guam	5.6594	6.1828	5.6147	4.5976	3.9449	3.254	2.9498	2.9725	3.0455	2.9983	2.7312	2.8703	2.9769	3.056	2023
296	Kiribati	6.2344	6.3676	6.3622	6.0631	5.3345	5.0146	4.9521	4.7977	4.5678	4.3126	3.8216	3.8585	3.697	3.3517	2023
584	Marshall Islands	7.8346	7.9876	8.0707	8.0429	7.9999	7.6395	7.1186	6.4464	5.486	4.9236	4.5096	4.0939	3.4096	3.1199	2023
583	Micronesia (Fed. States of)	6.651	6.6912	6.7311	6.8448	6.9847	6.6973	6.1069	5.4323	4.7697	4.3802	3.9258	3.4799	3.196	2.978	2023
520	Nauru	4.7255	5.175	5.2325	5.3188	4.1686	3.6888	3.9764	4.0549	3.8862	3.7092	3.426	3.6599	4.1055	3.7824	2023
580	Northern Mariana Islands	6.1791	6.0729	5.7723	6.7773	6.2979	4.5557	2.5285	2.1251	2.9585	1.8852	1.8624	2.7352	3.2908	2.7578	2023
585	Palau	7.1101	7.1927	7.198	6.7347	5.7084	4.0284	3.1389	2.9156	2.6733	2.1132	1.9262	1.9654	2.024	1.9878	2023
957	Polynesia	6.7489	6.893	6.8512	6.5857	5.9419	5.2236	4.7814	4.4715	4.0446	3.6063	3.3497	3.1839	3.0375	2.7521	2023
16	American Samoa	6.2378	6.4794	6.6471	6.3465	5.4402	4.8803	4.3443	4.335	4.4994	3.9381	3.9233	3.5436	3.0254	2.5974	2023
184	Cook Islands	6.8866	7.1889	7.2964	6.763	5.7492	4.6947	4.0914	3.8975	3.9154	3.4717	2.9559	2.6073	2.3221	2.2046	2023
258	French Polynesia	5.7617	6.0048	5.9857	5.8727	5.1417	4.2022	3.8251	3.6482	3.1179	2.6086	2.3509	2.175	2.0078	1.6876	2023
570	Niue	6.5284	6.9824	7.0049	6.7127	5.7915	4.9552	4.7887	4.2672	3.6093	3.1378	2.8667	2.8737	2.6209	2.5409	2023
882	Samoa	7.7302	7.828	7.8063	7.5909	7.0205	6.2586	5.7202	5.3444	4.9142	4.726	4.467	4.4301	4.5172	4.1917	2023
772	Tokelau	5.1175	5.4933	5.641	5.1931	4.7588	3.952	4.0384	4.2584	4.4942	4.1246	3.6548	3.2666	2.8344	2.5545	2023
776	Tonga	6.7016	6.6748	6.5581	6.2972	5.888	5.7185	5.5446	5.1925	4.8386	4.3958	4.2165	4.0912	3.7678	3.3986	2023
798	Tuvalu	5.3446	5.2959	4.9499	4.3669	3.7347	3.553	3.9025	3.9171	3.9022	3.9409	3.6538	3.4248	3.4105	3.3697	2023
876	Wallis and Futuna Islands	6.9873	7.3638	7.044	6.8947	7.2026	6.2738	5.7745	5.1096	4.0375	2.8698	2.3731	2.1472	1.9945	1.9092	2023
