country_code	country	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	last.observed
1637	Small Island Developing States (SIDS)	-60.373	-66.719	-75.697	-86.815	-96.692	-107.154	-114.337	-131.61	-148.626	-156.923	-157.137	-164.568	-171.566	-182.348	-209.786	-207.791	-196.664	-183.134	-180.26	-189.195	-168.035	-186.099	-198.441	-201.497	-177.532	-148.632	-149.087	-146.445	-144.282	-197.531	-154.575	-106.132	-149.044	-179.188	-195.772	-221.698	-209.888	-186.246	-171.009	-142.608	-115.196	-82.331	-70.353	-72.041	-60.696	-41.075	-23.122	-34.618	-73.798	-377.929	-60.672	-64.411	-157.977	-193.74	-112.698	-53.351	8.372	63.242	33.799	-47.118	-72.596	-69.113	-82.361	-109.64	-130.898	-119.094	-147.981	-268.041	2.33	-162.257	-224.884	-131.9	86.187	-90.441	2023
2091	SIDS Caribbean	-69.161	-73.694	-83.547	-93.116	-103.245	-113.958	-120.964	-125.757	-131.152	-137.741	-132.796	-138.182	-146.908	-152.958	-160.429	-165.544	-162.04	-161.867	-160.267	-158.96	-146.965	-142.586	-158.144	-160.189	-161.009	-150.659	-148.668	-147.879	-141.777	-143.285	-149.776	-139.176	-134.923	-134.646	-135.61	-137.808	-147.614	-152.076	-148.786	-150.28	-144.01	-136.872	-135.261	-142.373	-138.958	-134.53	-130.08	-139.905	-135.764	-142.005	-157.187	-159.986	-157.089	-152.249	-150.007	-150.349	-138.171	-141.56	-150.16	-152.788	-165.476	-168.508	-166.315	-166.416	-172.174	-159.933	-158.567	-255.952	-15.496	-151.516	-75.912	-85.073	-97.906	-86.94	2023
2092	SIDS Pacific	-8.357	-7.973	-7.502	-6.714	-6	-5.306	-4.313	-5.704	-5.776	-6.172	-6.513	-14.691	-16.408	-18.893	-21.576	-22.677	-23.553	-29.424	-29.011	-27.556	-26.194	-26.969	-29.436	-31.82	-33.603	-22.863	-24.939	-25.615	-25.242	-27.333	-28.823	-33.645	-35.45	-35.55	-36.568	-35.458	-37.428	-41.456	-43.796	-40.65	-22.283	4.762	14.944	15.32	15.995	17.405	23.926	29.364	28.988	-237.43	57.96	64.789	52.331	4.08	0.324	18.154	19.006	18.969	14.376	16.418	28.511	18.341	14.573	11.706	7.81	3.832	2.356	2.512	0.468	-7.799	-2.367	-6.029	-21.792	-21.384	2023
2093	SIDS Atlantic, Indian Ocean and South China Sea (AIS)	17.145	14.947	15.351	13.015	12.552	12.11	10.94	-0.149	-11.699	-13.01	-17.827	-11.695	-8.251	-10.498	-27.781	-19.57	-11.071	8.157	9.018	-2.68	5.124	-16.545	-10.861	-9.488	17.08	24.89	24.52	27.049	22.737	-26.913	24.024	66.69	21.329	-8.992	-23.594	-48.432	-24.846	7.286	21.573	48.321	51.096	49.78	49.964	55.011	62.266	76.05	83.032	75.923	32.978	1.506	38.556	30.786	-53.219	-45.572	36.985	78.844	127.537	185.833	169.583	89.252	64.369	81.054	69.381	45.07	33.466	37.007	8.23	-14.601	17.357	-2.942	-146.605	-40.799	205.885	17.884	2023
5503	High-and-upper-middle-income countries	-49.316	-223.631	-217.666	166.221	-124.005	-66.344	-148.703	506.835	20.078	-22.046	112.817	37.336	394.949	326.721	379.656	430.998	665.036	92.521	1036.129	1173.962	503.924	1410.925	1077.251	994.244	593.393	178.972	659.648	795.983	714.678	420.321	1287.75	454.041	350.367	782.247	796.133	840.442	1293.792	1172.902	1531.611	1457.37	838.812	1579.256	29.511	1802.509	1362.774	873.033	1258.158	926.597	448.254	1769.527	2471.479	2553.043	3984.316	2868.977	2754.531	3443.961	1559.585	3268.802	4295.895	3599.525	3643.098	3869.314	5304.877	5292.672	5520.083	6730.741	4607.989	5304.989	5081.661	4655.225	2211.587	2946.78	10099.876	4157.807	2023
5504	Low-and-Lower-middle-income countries	-11.174	167.241	168.666	-207.864	89.774	39.044	126.636	-524.666	-34.407	10.743	-121.311	-42.428	-396.402	-326.767	-378.776	-429.17	-662.688	-91.524	-1034.117	-1171.576	-509.807	-1401.968	-1067.148	-983.842	-582.867	-155.259	-667.476	-804.583	-723.083	-428.559	-1291.129	-455.708	-352.627	-784.359	-798.582	-842.969	-1296.375	-1175.946	-1534.625	-1459.727	-839.784	-1578.903	-28.516	-1801.311	-1361.442	-876.821	-1263.409	-931.279	-451.174	-1768.773	-2470.344	-2551.369	-3982.577	-2865.23	-2745.56	-3427.306	-1539.136	-3239.539	-4258.437	-3555.508	-3597.588	-3823.754	-5256.734	-5242.267	-5461.062	-6655.165	-4333.761	-4504.547	-3724.099	-3681.516	-1687.074	-2602.568	-9950.128	-4048.713	2023
1503	High-income countries	-165.298	-294.522	-222.195	227.765	-106.662	15.364	-94.032	444.292	156.005	333.19	392.626	270.278	623.411	540.092	1795.647	978.024	1025.801	-768.706	1339.432	1543.363	1264.817	2112.586	1813.031	1729.876	1280.628	815.517	1012.156	958.605	1001.403	1140.802	1611.049	995.273	715.692	902.939	789.958	1179.068	1503.071	1530.554	1889.145	2171.777	1749.988	3268.478	3027.74	2425.555	2695.288	1840.086	2379.239	2181.01	1631.796	2761.872	3140.695	3635.003	4247.975	4264.7	4245.308	4350.331	4273.263	5716.706	5054.77	4090.154	4198.145	4927.236	4561.391	4686.167	5047.267	6018.29	5128.094	3858.49	4077.552	4706.236	1577.229	2727.108	9460.669	5010.031	2023
1859	Low-and-middle-income countries	104.808	238.132	173.195	-269.408	72.431	-42.664	71.965	-462.123	-170.334	-344.493	-401.12	-275.37	-624.864	-540.138	-1794.767	-976.196	-1023.453	769.703	-1337.42	-1540.977	-1270.7	-2103.629	-1802.928	-1719.474	-1270.102	-791.804	-1019.984	-967.205	-1009.808	-1149.04	-1614.428	-996.94	-717.952	-905.051	-792.407	-1181.595	-1505.654	-1533.598	-1892.159	-2174.134	-1750.96	-3268.124	-3026.745	-2424.357	-2693.956	-1843.873	-2384.491	-2185.693	-1634.716	-2761.118	-3139.56	-3633.329	-4246.236	-4260.953	-4236.337	-4333.676	-4252.814	-5687.443	-5017.312	-4046.137	-4152.635	-4881.676	-4513.248	-4635.763	-4988.245	-5942.713	-4853.866	-3058.047	-2719.99	-3732.527	-1052.716	-2382.896	-9310.921	-4900.936	2023
1517	Middle-income countries	375.398	483.976	413.835	-7.198	291.841	152.492	247.905	-287.78	78.168	-194.438	-286.276	-208.513	-530.456	-453.817	-1754.093	-944.667	-1003.694	755.364	-1333.626	-1465.821	-1187.041	-1891.811	-1497.414	-1733.019	-1134.793	-616.159	-719.361	-283.461	-1439.348	-568.721	592.826	894.72	-508.042	-661.074	-851.829	-770.802	-969.676	-920.553	-1265.079	-1671.382	-385.369	-2767.663	-3955.02	-3014.281	-2804.311	-1924.136	-2158.82	-1635.456	-1565.806	-2336.353	-1661.306	-3118.913	-4663.926	-4008.048	-3662.586	-4276.967	-4475.527	-5179.913	-4490.631	-3651.792	-3487.72	-4333.156	-3040.64	-2205.106	-3033.805	-4129.883	-4496.649	-2546.613	-3294.311	-3996.851	-1417.076	-1706.08	-9035.673	-4937.078	2023
1502	Upper-middle-income countries	115.982	70.891	4.529	-61.544	-17.344	-81.707	-54.671	62.543	-135.927	-355.235	-279.809	-232.942	-228.462	-213.371	-1415.991	-547.026	-360.765	861.227	-303.303	-369.401	-760.893	-701.661	-735.78	-735.632	-687.235	-636.545	-352.508	-162.623	-286.726	-720.482	-323.299	-541.232	-365.325	-120.692	6.175	-338.626	-209.279	-357.651	-357.533	-714.407	-911.176	-1689.221	-2998.23	-623.046	-1332.514	-967.052	-1121.081	-1254.413	-1183.542	-992.346	-669.216	-1081.96	-263.659	-1395.724	-1490.777	-906.37	-2713.677	-2447.904	-758.876	-490.629	-555.047	-1057.922	743.486	606.504	472.816	712.452	-520.105	1446.499	1004.109	-51.01	634.358	219.672	639.208	-852.223	2023
