country_code	country	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	last.observed
1637	Small Island Developing States (SIDS)	5.39118	5.374942	5.367105	5.376603	5.397772	5.425471	5.449837	5.459307	5.482022	5.505473	5.542965	5.542014	5.559276	5.573827	5.520502	5.440837	5.328177	5.178666	5.05317	4.935477	4.822753	4.717335	4.596553	4.454624	4.299449	4.123737	3.99332	3.85137	3.716231	3.640387	3.557163	3.500892	3.490504	3.44697	3.390252	3.347268	3.30005	3.284083	3.297188	3.258213	3.229494	3.149836	3.095466	3.04572	2.999383	2.960399	2.922464	2.90663	2.85723	2.843909	2.823035	2.772439	2.747268	2.712084	2.670185	2.631318	2.588826	2.576053	2.57822	2.574215	2.548451	2.536097	2.500397	2.463297	2.44275	2.415972	2.373052	2.337545	2.321223	2.283421	2.254652	2.226093	2.204712	2.180808	2023
2091	SIDS Caribbean	5.197947	5.168629	5.152017	5.156078	5.179579	5.204503	5.224358	5.227896	5.25457	5.291878	5.356603	5.37038	5.404297	5.421784	5.371924	5.307899	5.181732	5.057354	4.930361	4.825307	4.704263	4.58916	4.447099	4.305319	4.13943	3.948775	3.784841	3.629823	3.461166	3.368164	3.272845	3.209746	3.224571	3.195953	3.135486	3.093655	3.062584	3.032713	3.029499	3.011066	2.979526	2.896009	2.833007	2.775064	2.730021	2.697084	2.658536	2.657542	2.616838	2.60527	2.59154	2.545698	2.512908	2.474291	2.42182	2.374853	2.325345	2.318727	2.341622	2.361244	2.343109	2.333564	2.286422	2.258727	2.235341	2.21995	2.178181	2.146883	2.137526	2.096868	2.060621	2.024863	2.005279	1.993867	2023
2092	SIDS Pacific	6.057587	6.077583	6.088347	6.11068	6.105031	6.132515	6.148332	6.174387	6.187393	6.194958	6.213246	6.22846	6.246323	6.225467	6.215655	6.179556	6.151486	6.104659	6.064804	6.029271	5.978206	5.915535	5.841958	5.765991	5.689909	5.630183	5.570629	5.504924	5.431348	5.363991	5.313233	5.303344	5.24868	5.213978	5.159459	5.10444	5.040083	4.982993	4.934644	4.877291	4.834385	4.783927	4.732497	4.683911	4.619167	4.560176	4.517923	4.468743	4.413818	4.370177	4.268984	4.230448	4.195185	4.156484	4.096996	4.041809	3.991126	3.933432	3.883169	3.819504	3.768047	3.704198	3.64453	3.58322	3.528533	3.459314	3.394062	3.322826	3.266781	3.205865	3.159686	3.10256	3.053245	2.994075	2023
2093	SIDS Atlantic, Indian Ocean and South China Sea (AIS)	6.075313	6.088305	6.100398	6.112624	6.127224	6.151962	6.194057	6.200025	6.185035	6.115926	5.978127	5.847853	5.74491	5.773562	5.645728	5.418672	5.306881	4.879463	4.67257	4.389695	4.265047	4.181418	4.145415	3.937741	3.769691	3.579476	3.577726	3.439577	3.430197	3.434546	3.382288	3.315422	3.223331	3.105057	3.068417	3.029532	2.913069	2.99713	3.141784	3.013049	3.009844	2.924374	2.898734	2.871696	2.816715	2.747039	2.693933	2.613678	2.498084	2.475131	2.505221	2.379404	2.359455	2.299852	2.287829	2.271144	2.235106	2.215026	2.162631	2.105916	2.053687	2.06287	2.07636	2.008033	2.013884	1.972113	1.932295	1.903361	1.887137	1.871196	1.871403	1.882301	1.87248	1.842908	2023
5503	High-and-upper-middle-income countries	4.339227	4.293995	4.538008	4.404265	4.491846	4.493083	4.375276	4.559157	4.344821	4.047974	3.963405	3.776681	4.439407	4.868459	4.586849	4.519911	4.364568	4.210019	4.393559	4.263234	4.21287	4.002046	3.81358	3.642454	3.424241	3.179305	3.033617	2.873235	2.80297	2.797562	2.770587	2.751051	2.783981	2.601833	2.587136	2.570553	2.587308	2.591647	2.498653	2.471494	2.452407	2.203984	2.108249	2.046079	2.004321	1.968767	1.93536	1.904797	1.880943	1.859137	1.879368	1.830697	1.813805	1.806689	1.819807	1.824799	1.840893	1.861207	1.882877	1.885252	1.876527	1.87541	1.932523	1.890744	1.913922	1.865446	1.882181	1.861417	1.749005	1.706018	1.587443	1.540458	1.496394	1.473058	2023
5504	Low-and-Lower-middle-income countries	5.888774	5.864687	5.91945	5.945738	5.990519	5.997029	6.008575	6.047752	6.058142	6.060431	6.086813	6.069675	6.109725	6.122748	6.117594	6.09156	6.065798	6.046786	6.017808	5.982722	5.958674	5.930217	5.890981	5.834774	5.781311	5.711167	5.667602	5.599232	5.539529	5.493657	5.459827	5.402558	5.345897	5.297698	5.238236	5.152576	5.084219	4.988978	4.897279	4.811068	4.726031	4.635054	4.535557	4.441292	4.354798	4.268856	4.183344	4.108903	4.035693	3.977101	3.933608	3.88046	3.811971	3.747336	3.687011	3.627804	3.581239	3.531604	3.496089	3.466093	3.416172	3.368146	3.326431	3.281706	3.22706	3.208583	3.177692	3.117923	3.077698	3.024433	2.971842	2.938431	2.912744	2.893026	2023
1503	High-income countries	3.037974	2.989701	2.977762	2.954065	2.963321	2.969898	2.982982	2.995278	3.010733	3.014773	3.001316	2.994705	2.948327	2.934182	2.912589	2.830577	2.678406	2.712113	2.627532	2.576576	2.535828	2.470965	2.347703	2.260226	2.207746	2.119888	2.068978	2.037049	1.998816	1.99845	1.986938	1.950136	1.925399	1.87541	1.848434	1.830949	1.808226	1.802455	1.816797	1.810506	1.821438	1.797895	1.774669	1.73823	1.7176	1.690599	1.687069	1.678116	1.67019	1.668567	1.68772	1.662062	1.647897	1.654253	1.663657	1.667492	1.702501	1.72944	1.741075	1.720068	1.70577	1.688956	1.691597	1.667067	1.677861	1.674653	1.669183	1.63606	1.603221	1.564297	1.513342	1.516128	1.49522	1.467164	2023
1859	Low-and-middle-income countries	5.583289	5.543125	5.796579	5.686232	5.77953	5.775789	5.663892	5.842013	5.643052	5.37312	5.314886	5.143052	5.769073	6.158806	5.908845	5.862226	5.756575	5.591485	5.758014	5.638075	5.589571	5.407783	5.261548	5.111944	4.913785	4.698088	4.568273	4.407623	4.329451	4.30033	4.259859	4.219509	4.217594	4.051769	4.011235	3.955209	3.936143	3.890819	3.768603	3.707101	3.649759	3.425653	3.318496	3.243717	3.185361	3.131727	3.075191	3.028245	2.98694	2.952333	2.949501	2.904146	2.867387	2.83411	2.815849	2.79248	2.777983	2.767947	2.768109	2.763815	2.74152	2.725837	2.745733	2.708349	2.696762	2.665399	2.665031	2.632656	2.55953	2.518731	2.438871	2.401122	2.373436	2.360301	2023
1517	Middle-income countries	5.526231	5.498531	5.767288	5.64579	5.74188	5.736247	5.617569	5.801442	5.588429	5.30414	5.240466	5.058149	5.723914	6.137462	5.869696	5.818618	5.702958	5.522432	5.700592	5.571255	5.517698	5.322499	5.163359	5.006294	4.794581	4.563257	4.424875	4.252655	4.168687	4.136293	4.093685	4.05294	4.054167	3.878869	3.837363	3.779071	3.760713	3.714807	3.587504	3.524863	3.465821	3.229674	3.116836	3.036562	2.97491	2.917264	2.858339	2.809536	2.767021	2.73019	2.728388	2.681899	2.644131	2.60934	2.590289	2.565459	2.549787	2.539634	2.540737	2.537028	2.514351	2.49989	2.523986	2.485582	2.473663	2.438999	2.43832	2.402252	2.321288	2.275785	2.187339	2.146188	2.116093	2.10211	2023
1502	Upper-middle-income countries	5.318238	5.264024	5.683019	5.457553	5.591079	5.57803	5.360509	5.655057	5.276393	4.77121	4.636039	4.326426	5.457936	6.175835	5.714063	5.651521	5.480421	5.193956	5.534916	5.344413	5.276893	4.963689	4.724865	4.491903	4.164083	3.816201	3.605168	3.361792	3.26393	3.247533	3.20468	3.187648	3.242646	2.980032	2.958314	2.927774	2.948645	2.942909	2.788845	2.742076	2.701183	2.350765	2.224903	2.15271	2.103026	2.063824	2.020308	1.983393	1.955853	1.927907	1.949525	1.893008	1.874935	1.861711	1.875078	1.878894	1.885847	1.901581	1.925062	1.934569	1.926693	1.93104	2.008654	1.961794	1.991239	1.92847	1.956113	1.943321	1.803793	1.761677	1.618974	1.553622	1.500543	1.47885	2023
